sample,mouse,day,tooth,gene_ace,gene_smoc1,gene_pou3f3
ind1lower,ind1,14.5,lower,2.686358174,16.38007903,15.02662987
ind1upper,ind1,14.5,upper,1.785406241,22.43656568,186.0919919
ind2lower,ind2,15,lower,3.163991244,30.47134386,12.59152965
ind2upper,ind2,15,upper,3.464193367,45.37948229,170.9536656
ind3lower,ind3,15.5,lower,4.259992925,54.67590891,9.58356361
ind3upper,ind3,15.5,upper,3.384543024,80.99022453,157.6125982
ind4lower,ind4,16,lower,6.404394465,77.42393935,14.74089431
ind4upper,ind4,16,upper,4.977329547,78.92588505,154.3874545
ind5lower,ind5,16.5,lower,8.374388373,75.08241381,7.131084673
ind5upper,ind5,16.5,upper,6.766097155,91.70119264,123.9075154
ind6lower,ind6,17,lower,13.27381326,53.50671108,7.329289598
ind6upper,ind6,17,upper,11.10824698,87.89157378,99.31908386
ind7lower,ind7,17.5,lower,18.16170367,38.40655894,7.641342763
ind7upper,ind7,17.5,upper,15.42800872,62.22345292,88.32578137
ind8lower,ind8,18,lower,26.88049964,24.79051305,6.548564821
ind8upper,ind8,18,upper,21.99212437,42.91838135,86.00330148